MAHDOUDE,AQUIFER,SC
ازغند,ازغند,
بجستان - یونسی,بجستان,
بجستان - یونسی,یونسی,
بردسکن,بردسکن,0.053
تایباد,تایباد,
تربت حیدریه,تربت حیدریه,0.066
جنگل,جنگل,0.069
جوین,جوین,0.07
خواف,خواف,
داورزن - فرومد,داورزن - فرومد,0.03
درگز,آبخوان جنوبی,
درگز,آبخوان شمالی,
درونه,درونه,0.053
دشت رخ,دشت رخ,0.065
رشتخوار,رشتخوار,
ریوش,ریوش,
زوزن,زوزن,0.04
سبزوار,سبزوار,0.0625
سرخس,سرخس,0.088
سنگ بست,سنگ بست,
شهر نو - باخرز,شهر نو - باخرز,
صالح آباد - جنت آباد,آبخوان شرقی,
صالح آباد - جنت آباد,آبخوان غربی,
عطاییه,عطاییه,0.04
عمرانی - بیمرغ,آبخوان شرقی,
عمرانی - بیمرغ,آبخوان غربی,
عمرانی - بیمرغ,عمرانی,
فریمان - تربت جام,فریمان - تربت جام,0.04
قلعه میدان,آبخوان شرقی,
قلعه میدان,آبخوان غربی,
کاشمر,سعدالدین,
کاشمر,کاشمر,
کرات,کرات,0.038
کلات نادری,کلات نادری,
گناباد,گناباد,
گیسور,گیسور,
محولات,محولات,
مشهد,مشهد,0.06
نریمانی,آبخوان شرقی,
نریمانی,آبخوان شمالی,
نریمانی,نریمانی,
نیشابور,نیشابور,0.06
نیشابور,پهنه شمالی,0.06
ینگجه,ینگجه,
